sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,249655629233389280476133007224371599549,5.681818181818182,1,4280,4280,5000,20 * 20
0,1,124807939738972967162035528202308833409,0.0,1,4005,4005,4628,20 * 20
0,2,133979981117476789606495880238079752280,0.0,1,2286,2286,2694,20 * 20
0,3,40061862547762361752489502710879370953,4.3478260869565215,1,4326,4326,5000,20 * 20
0,4,178214196417042573215544632809210861663,0.0,1,2619,2619,3075,20 * 20
0,5,142972685853979851962224318418339494604,0.0,1,3690,3690,4265,20 * 20
0,6,260766736775191845682857945250981663059,0.0,1,3725,3725,4331,20 * 20
0,7,272278591284382012462047784588893078140,0.0,1,3699,3699,4313,20 * 20
0,8,24191643649608489688375152115004881196,0.0,1,4109,4109,4811,20 * 20
0,9,148129844215588408688015289573136706017,0.0,1,2467,2467,2845,20 * 20
1,0,235362395169083620253397009124269979651,0.0,6,585,608,688,20 * 20
1,1,225563593906914983579373773889808704626,0.0,6,516,546,610,20 * 20
1,2,75676186884365019258189717618747550392,0.0,6,993,1039,1184,20 * 20
1,3,318377063072154390847034874165085663715,0.0,6,647,666,755,20 * 20
1,4,177846311887121832469587397075396146168,0.0,6,589,631,718,20 * 20
1,5,266766394838447565102334849380171817344,0.0,6,552,583,657,20 * 20
1,6,331727140259838508714709871284423667603,0.0,6,669,688,785,20 * 20
1,7,8220844641115727178322586360246450583,0.0,6,633,659,742,20 * 20
1,8,167047048474012112721400236480098817118,0.0,6,2564,2611,2988,20 * 20
1,9,191291327395257137803029430527225865307,0.0,6,906,963,1099,20 * 20
2,0,26885562264188158934276572397225521804,0.0,11,421,462,497,20 * 20
2,1,254234740172924050602140728161274090072,0.0,11,348,389,429,20 * 20
2,2,182973672201436806045944220899688290031,0.0,11,629,651,739,20 * 20
2,3,260446184403325781674846885987678254349,0.0,11,425,474,521,20 * 20
2,4,272620557118814353236993175540934213332,0.0,11,387,416,469,20 * 20
2,5,258732368973035863936284929308860375840,0.0,11,543,579,643,20 * 20
2,6,250874129276413540876619408464452942547,0.0,11,417,455,505,20 * 20
2,7,293278072392244189154972344652302673686,0.0,11,610,631,716,20 * 20
2,8,173212047625549563384480754372217614651,0.0,11,406,435,486,20 * 20
2,9,263642156765393801359547717284997845770,0.0,11,287,311,343,20 * 20
3,0,41569183615282988234277990631933407329,0.0,16,296,337,377,20 * 20
3,1,247931677513481422394389830861300814671,0.0,16,345,370,415,20 * 20
3,2,154421042274044655865150382456426521031,0.0,16,423,452,502,20 * 20
3,3,68338117913953469718166775066422074254,0.0,16,359,389,434,20 * 20
3,4,170478122670669294142765056483452952142,0.0,16,332,364,400,20 * 20
3,5,186696400463449277030891850267818548121,0.0,16,517,553,618,20 * 20
3,6,29977180121923133880403214727649456983,0.0,16,309,331,369,20 * 20
3,7,151311643687807761089993411374500164277,0.0,16,226,256,282,20 * 20
3,8,97115161502609585188750675034875147688,0.0,16,348,380,429,20 * 20
3,9,153230892245501947279914270101188929335,0.0,16,479,524,579,20 * 20
4,0,328897240718463535396633822328854436752,0.0,20,253,287,316,20 * 20
4,1,62948336151144405775564671963500275120,0.0,20,334,356,405,20 * 20
4,2,270680932765278257407831115547186883535,0.0,20,465,496,547,20 * 20
4,3,52209350006996078730817732223542726577,0.0,20,232,263,292,20 * 20
4,4,108244135265529087727529341125440035448,0.0,20,292,318,349,20 * 20
4,5,39550338504090385561615914618332502185,0.0,20,247,267,301,20 * 20
4,6,204093892260708001726740289631974449673,0.0,20,284,312,349,20 * 20
4,7,324435988102541434109298001379405396056,0.0,20,268,295,329,20 * 20
4,8,80089932999944336292339516322286165741,0.0,20,338,368,412,20 * 20
4,9,75309616859823604696527826353079468380,0.0,20,460,479,540,20 * 20
